,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department
0,AAO2354-001,AAO2354,1,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",임지영,Pass/Fail,교양선택,,기타-일반교양
1,AAO2354-002,AAO2354,2,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택,,기타-일반교양
2,AAO3004-001,AAO3004,1,지역사회연계봉사-JEP 3,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택 시간표체크안함,,기타-일반교양
3,AAO3033-002,AAO3033,2,안보학,3,3.0,일반선택,"화22,23,24,목22,23,24(학군단)",학군단2,절대평가, ,,기타-비사대교직
4,AAO3037-001,AAO3037,1,국가안보의 이해,전체,3.0,일반선택,"월1,2,3,4,5,6(60주년-508)",김정필,절대평가, ,,기타-비사대교직
5,AAO3038-001,AAO3038,1,전쟁과 무기체계,전체,3.0,일반선택,"월13,14,15,16,17,18(60주년-609)",김정필,절대평가, ,,기타-비사대교직
6,AAO3043-002,AAO3043,2,조직리더십,4,3.0,일반선택,"화22,23,24,목22,23,24(학군단)",학군단2,절대평가, ,,기타-비사대교직
7,AAO4010-001,AAO4010,1,NCS직업기초능력,4,2.0,일반선택,"수19,20,21,22(6-427)",황사연,Pass/Fail,일학습병행 NCS 참여학생 수강,,기타-NCS과목
8,AAO6514-001,AAO6514,1,SQL 활용 프로그래밍(NCS과정),4,3.0,일반선택,"목13,14,15,16,17,18(5남240)",임상준,절대평가,일학습병행 NCS 참여학생 수강,,기타-NCS과목
1531,GED1002-001,GED1002,1,공학윤리와 토론,2,3.0,교양선택,"수1,2,3,4,5,6(60주년-612)",이양수,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1532,GED1002-002,GED1002,2,공학윤리와 토론,2,3.0,교양선택,"수13,14,15,16,17,18(5남333)",이양수,상대평가,인하공학교육혁신센터,,기타-핵심교양
1533,GED1002-003,GED1002,3,공학윤리와 토론,2,3.0,교양선택,"화1,2,3,4,5,6(5동208A)",정현철,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1534,GED1002-004,GED1002,4,공학윤리와 토론,2,3.0,교양선택,"화13,14,15,16,17,18(60주년-509)",정현철,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1535,GED1002-005,GED1002,5,공학윤리와 토론,2,3.0,교양선택,"목1,2,3,4,5,6(서-328)",정현철,상대평가,공학인증필(18학번~),,기타-핵심교양
1536,GED1002-006,GED1002,6,공학윤리와 토론,2,3.0,교양선택,"금4,5,6,7,8,9(60주년-510)",이혁주,상대평가,공학인증필(18학번~),,기타-핵심교양
1537,GED1002-007,GED1002,7,공학윤리와 토론,2,3.0,교양선택,"금13,14,15,16,17,18(60주년-510)",이혁주,상대평가,공학인증필(18학번~),,기타-핵심교양
1538,GED1002-008,GED1002,8,공학윤리와 토론,2,3.0,교양선택,"월1,2,3,4,5,6(60주년-509)",우환식,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1539,GED1002-010,GED1002,10,공학윤리와 토론,2,3.0,교양선택,"금10,11,12,13,14,15(60주년-509)",이양수,상대평가,공학인증필(18학번~),,기타-핵심교양
1540,GED1002-011,GED1002,11,공학윤리와 토론,2,3.0,교양선택,"금1,2,3,4,5,6(60주년-509)",이양수,상대평가,"공학인증필(18학번~), 국제학부/외국인학생 전용, 영어,English",,기타-원어강의
1541,GED1003-001,GED1003,1,나눔 프로젝트,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-511)",연석정,상대평가,프런티어학부대학,,기타-핵심교양
1542,GED1004-001,GED1004,1,가치창조를 위한 명저 읽기,전체,3.0,교양선택,"화10,11,12,목10,11,12(60주년-607)",윤인현,상대평가,프런티어학부대학,,기타-핵심교양
1543,GED1007-001,GED1007,1,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"수10,11,12,목10,11,12(60주년-502)",테리로즈,절대평가,English,,기타-핵심교양
1544,GED1007-002,GED1007,2,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"월4,5,6,수10,11,12(60주년-602)",김명임,상대평가,프런티어학부대학,,기타-핵심교양
1545,GED1007-003,GED1007,3,"독서세미나 : 인간, 가치, 공존",1,3.0,교양선택,"수16,17,18,19,20,21(M-322)",미셸권,Pass/Fail,English,,기타-핵심교양
1546,GED1007-004,GED1007,4,"독서세미나 : 인간, 가치, 공존",1,3.0,교양선택,"목16,17,18,19,20,21(M-322)",미셸권,Pass/Fail,English,,기타-원어강의
1547,GED1009-001,GED1009,1,마음을 움직이는 리더십,전체,3.0,교양선택,셀12(웹강의),김성건,상대평가,※기말 : 6월 23일 15:00 ~ 15:55,4.55,기타-E-Learning
1548,GED1010-001,GED1010,1,오래된 미래: 동양고전에서의 인간다움,전체,3.0,교양선택,셀8(웹강의),윤인현,상대평가,※기말 : 6월 23일 10:00 ~ 10:55,4.51,기타-핵심교양
1549,GED1011-001,GED1011,1,SF와 인간의 미래,전체,3.0,교양선택,"월13,14,15,목13,14,15(5남535)",이수진,상대평가,프런티어학부대학,,기타-핵심교양
1550,GED1013-001,GED1013,1,현대 사회의 가치관,전체,3.0,교양선택,"수13,14,15,16,17,18(9-403)",김영민,상대평가,행정학,,기타-핵심교양
1551,GED1015-001,GED1015,1,ESG와 사회적 가치 실천,전체,3.0,교양선택,"화13,14,15,16,17,18(60주년-605)","유정민,정연재",상대평가,프런티어학부대학,,기타-핵심교양
1552,GED2001-001,GED2001,1,역사 속의 라이벌,전체,3.0,교양선택,"월13,14,15,16,17,18(5남533)",김현진,상대평가,사학,,기타-핵심교양
1553,GED2002-001,GED2002,1,한국 역사속의 생활과 민속,전체,3.0,교양선택,"월13,14,15,16,17,18(5동502)",김민규,상대평가,사학,,기타-핵심교양
1554,GED2003-001,GED2003,1,종교와 문화,전체,3.0,교양선택,"수13,14,15,16,17,18(5동502)",양인성,상대평가,사학,,기타-핵심교양
1555,GED2004-001,GED2004,1,서양철학 : 거인들의 어깨,전체,3.0,교양선택,"목13,14,15,16,17,18(5남136)",정성관,상대평가,철학,,기타-핵심교양
1556,GED2005-001,GED2005,1,동양철학 : 마르지 않는 샘,전체,3.0,교양선택,"금4,5,6,7,8,9(5남534)",윤상수,상대평가,철학,,기타-핵심교양
1557,GED2006-001,GED2006,1,인간의 성장과 발달,전체,3.0,교양선택,"금4,5,6,7,8,9(9-505)",이지현,상대평가,아동심리학,,기타-핵심교양
1558,GED2007-001,GED2007,1,현대사회와패션,전체,3.0,교양선택,"화13,14,15,16,17,18(1-435)",이현화,상대평가,의류디자인학,,기타-핵심교양
1559,GED2008-001,GED2008,1,문화유산의 이해,전체,3.0,교양선택,"목13,14,15,16,17,18(60주년-612)","정상우,이민솔",상대평가,사회교육,,기타-핵심교양
1560,GED2009-001,GED2009,1,문화심리,전체,3.0,교양선택,셀2(웹강의),김의철,절대평가,"영어, English, ※기말 : 6월 22일 11:00 ~ 11:55",1.85,기타-E-Learning
1561,GED2010-001,GED2010,1,축제와 인간사회,전체,3.0,교양선택,셀10(웹강의),박지선,상대평가,※기말 : 6월 23일 13:00 ~ 13:55,4.44,기타-핵심교양
1562,GED2011-001,GED2011,1,지역인문학,전체,3.0,교양선택,"수10,11,12,목4,5,6(60주년-805)",이영태,상대평가,프런티어학부대학,,기타-핵심교양
1563,GED2013-001,GED2013,1,"독서세미나 : 역사, 사상, 문화",전체,3.0,교양선택,"월4,5,6,화16,17,18(60주년-609)",복기대,상대평가,프런티어학부대학,,기타-핵심교양
1564,GED2015-001,GED2015,1,동아시아의 역사와 21세기,전체,3.0,교양선택,"금4,5,6,7,8,9(5동502)",유창호,상대평가,사학,,기타-핵심교양
1565,GED2016-001,GED2016,1,그리스신화의 이해,전체,3.0,교양선택,셀13(웹강의),조병준,상대평가,※기말 : 6월 23일 16:00 ~ 16:55,3.57,기타-E-Learning
1566,GED2018-001,GED2018,1,전염병의 지리학,전체,3.0,교양선택,"금4,5,6,7,8,9(5서369)",김희순,상대평가,사회교육,,기타-핵심교양
1567,GED3001-001,GED3001,1,대중문학의 이해,전체,3.0,교양선택,"수13,14,15,16,17,18(5남401)",윤미란,상대평가,한국어문학,,기타-핵심교양
1568,GED3002-001,GED3002,1,영화로보는문학세계,전체,3.0,교양선택,셀13(웹강의),김상원,상대평가,※기말 : 6월 23일 16:00 ~ 16:55,4.19,기타-E-Learning
1569,GED3007-001,GED3007,1,인문학으로 바라본 마케팅,전체,3.0,교양선택,"목7,8,9,10,11,12(M-301)",이재진,상대평가,산업경영학,,기타-핵심교양
1570,GED3008-001,GED3008,1,문학과 음악의 만남 : 서정시와 사랑 노래,전체,3.0,교양선택,"화13,14,15,16,17,18(5동208A)",황승경,상대평가,한국어문학,,기타-핵심교양
1571,GED3009-001,GED3009,1,풍경에 관하여 : 인문학과 시각예술의 만남,전체,3.0,교양선택,"화7,8,9,목7,8,9(5남521)",박정준,상대평가,한국어문학,,기타-핵심교양
1572,GED3014-002,GED3014,2,영화와 테크놀러지,전체,3.0,교양선택,"월13,14,15,16,17,18(5남234)",권순중,상대평가,연극영화학,,기타-핵심교양
1573,GED3014-003,GED3014,3,영화와 테크놀러지,전체,3.0,교양선택,"금13,14,15,16,17,18(5서460)",임택,상대평가,연극영화학,,기타-핵심교양
1574,GED3015-001,GED3015,1,희곡의 이해,전체,3.0,교양선택,셀9(웹강의),왕치현,상대평가,※기말 : 6월 23일 11:00 ~ 11:55,4.2,기타-핵심교양
1575,GED3016-001,GED3016,1,애니메이션속의 상상과 인식,전체,3.0,교양선택,"목16,17,18,19,20,21(5남521)",정종현,상대평가,한국어문학,,기타-핵심교양
1576,GED3016-002,GED3016,2,애니메이션속의 상상과 인식,전체,3.0,교양선택,"월13,14,15,16,17,18(5동211)",강수환,상대평가,한국어문학,,기타-핵심교양
1577,GED3018-001,GED3018,1,그래픽 디자인 이야기,전체,3.0,교양선택,셀8(웹강의),강현주,Pass/Fail,※기말 : 6월 23일 10:00 ~ 10:55,4.94,기타-E-Learning
1578,GED3020-001,GED3020,1,"독서세미나 : 문학, 예술, 상징",전체,3.0,교양선택,"월4,5,6,목4,5,6(60주년-610)",정연재,상대평가,프런티어학부대학,,기타-핵심교양
1579,GED3021-002,GED3021,2,예술가곡의 가창실습,전체,3.0,교양선택,"월4,5,6,7,8,9(5남333)",진유정,Pass/Fail,예술체육학부,,기타-핵심교양
1580,GED4001-001,GED4001,1,다문화사회와 공존의 인문학,전체,3.0,교양선택,"셀0(웹강의) /화16,17,18(60주년-712)","김영순,오영섭",상대평가,사회교육,,기타-핵심교양
1581,GED4001-002,GED4001,2,다문화사회와 공존의 인문학,전체,3.0,교양선택,"셀0(웹강의) /수16,17,18(60주년-611)","김영순,최수안",상대평가,사회교육,,기타-핵심교양
1582,GED4002-001,GED4002,1,세계이해를 위한 명저 읽기,전체,3.0,교양선택,"월4,5,6(60주년-230) /화4,5,6(60주년-804)",성동기,상대평가,프런티어학부대학,,기타-핵심교양
1583,GED4004-001,GED4004,1,부와 빈곤의 글로벌 지도,전체,3.0,교양선택,"금10,11,12,13,14,15(5서369)",김희순,절대평가,사회교육,,기타-핵심교양
1584,GED4004-002,GED4004,2,부와 빈곤의 글로벌 지도,전체,3.0,교양선택,"수1,2,3,4,5,6(5서369)",손승호,절대평가,사회교육,,기타-핵심교양
1585,GED4006-001,GED4006,1,국제관계학개론,전체,3.0,교양선택,셀5(웹강의),주승호,절대평가,"영어, English, ※기말 : 6월 22일 15:00 ~ 15:55",4.58,기타-원어강의
1586,GED4007-001,GED4007,1,동아시아 정치와 철학의 재발견,전체,3.0,교양선택,"화13,14,15,16,17,18(60주년-612)",강중기,상대평가,철학,,기타-핵심교양
1587,GED4008-001,GED4008,1,결혼과 부모역할,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-107)",김기화,상대평가,아동심리학,,기타-핵심교양
1588,GED4009-001,GED4009,1,동북아와 한일관계,전체,3.0,교양선택,셀11(웹강의),김웅희,상대평가,※기말 : 6월 23일 14:00 ~ 14:55,4.25,기타-핵심교양
1589,GED4011-002,GED4011,2,지식재산 이론과 실제,전체,3.0,교양선택,"화4,5,6,수4,5,6(60주년-712)",이수찬,상대평가,인하공학교육혁신센터,,기타-핵심교양
1590,GED4015-001,GED4015,1,인류문명과 에너지원의 변천사,전체,3.0,교양선택,셀0(웹강의),탁용석,상대평가,이차전지공학,4.67,기타-E-Learning
1591,GED5001-001,GED5001,1,환경과 인간,전체,3.0,교양선택,셀3(웹강의),조강현,상대평가,※기말 : 6월 22일 13:00 ~ 13:55,4.13,기타-E-Learning
1592,GED5002-001,GED5002,1,생활 속 바이오이야기,전체,3.0,교양선택,셀2(웹강의),김은기,상대평가,※기말 : 6월 22일 11:00 ~ 11:55,4.21,기타-E-Learning
1593,GED5002-002,GED5002,2,생활 속 바이오이야기,3,3.0,교양선택,셀0(웹강의),김은기,상대평가,바이오제약공학,4.21,기타-핵심교양
1594,GED5003-001,GED5003,1,생활과과학,전체,3.0,교양선택,셀6(웹강의),이재우,상대평가,※기말 : 6월 22일 16:00 ~ 16:55,3.69,기타-E-Learning
1595,GED5004-001,GED5004,1,지속가능성을 위한 화학 이야기,전체,3.0,교양선택,셀11(웹강의),이익모,상대평가,※기말 : 6월 23일 14:00 ~ 14:55,3.91,기타-핵심교양
1596,GED5005-001,GED5005,1,현대생명과학의 이해,전체,3.0,교양선택,셀4(웹강의),소재원,절대평가,"영어,English, ※기말 : 6월 22일 14:00 ~ 14:55",4.51,기타-E-Learning
1597,GED5007-001,GED5007,1,첨단 바이오테크놀로지의 이해,전체,3.0,교양선택,셀1(웹강의),김은기,상대평가,※기말 : 6월 22일 10:00 ~ 10:55,4.39,기타-핵심교양
1598,GED5010-001,GED5010,1,신비로운 인체와 맞춤운동,전체,3.0,교양선택,"목10,11,12,13,14,15(5서556)",최영주,절대평가,스포츠과학,,기타-핵심교양
1599,GED5011-001,GED5011,1,"독서세미나 : 자연, 생명, 환경",전체,3.0,교양선택,"월13,14,15,수13,14,15(5서357)",조형진,상대평가,프런티어학부대학,,기타-핵심교양
1600,GED6001-001,GED6001,1,프로그래밍과 문제해결,전체,3.0,교양선택,셀7(웹강의),이경자,절대평가,※기말 : 6월 22일 17:00 ~ 17:55,4.62,기타-핵심교양
1601,GED6002-001,GED6002,1,초연결사회와 모바일 소프트웨어,전체,3.0,교양선택,"월10,11,화4,5,6,7(5남240)",이경자,절대평가,프런티어학부대학,,기타-핵심교양
1602,GED6003-001,GED6003,1,컴퓨팅사고와 데이터분석 기초,전체,3.0,교양선택,셀9(웹강의),한영신,상대평가,※기말 : 6월 23일 11:00 ~ 11:55,4.54,기타-핵심교양
1603,GED6004-001,GED6004,1,블록코딩과 AI기초,전체,3.0,교양선택,"월7,8,9,10(5남238) /수7,8(60주년-808)",한영신,절대평가,프런티어학부대학,,기타-핵심교양
1604,GED6005-001,GED6005,1,지능정보서비스와 소프트웨어,전체,3.0,교양선택,"목13,14,15,16,17,18(M-303)",김종훈,절대평가,프런티어학부대학,,기타-핵심교양
1605,GED6007-001,GED6007,1,디지털 트랜스포메이션과 미래사회의 이해,전체,3.0,교양선택,셀5(웹강의),이재우,상대평가,※기말 : 6월 22일 15:00 ~ 15:55,2.27,기타-E-Learning
1606,GED6008-001,GED6008,1,4차 산업혁명 기술의 이해,전체,3.0,교양선택,"목1,2,3,4,5,6(60주년-808)",김헌기,절대평가,프런티어학부대학,,기타-핵심교양
1607,GED6009-001,GED6009,1,인공지능과 소프트웨어를 활용한 탄소중립,전체,3.0,교양선택,셀0(웹강의),"이석현,송병철,권장우,김용선,이학태,신내철,이현택,서영덕,양현진,김영성",Pass/Fail,인공지능공학,4.03,기타-핵심교양
1608,GED6010-001,GED6010,1,배터리속 소재 이야기,전체,3.0,교양선택,셀0(웹강의),이기영,상대평가,이차전지공학,3.8,기타-핵심교양
1609,GEE1001-001,GEE1001,1,명언으로 배우는 한자와 한문,전체,3.0,교양선택,셀3(웹강의),박혜숙,상대평가,※기말 : 6월 22일 13:00 ~ 13:55,4.75,기타-E-Learning
1610,GEE1002-001,GEE1002,1,동화와 마법의 상상력,전체,3.0,교양선택,"금10,11,12,13,14,15(5남521)",김민령,상대평가,한국어문학,,기타-일반교양
1611,GEE1005-001,GEE1005,1,영화로 보는 한국문화,전체,3.0,교양선택,셀1(웹강의),육상효,절대평가,"영어, English, ※기말 : 6월 22일 10:00 ~ 10:55",3.83,기타-일반교양
1612,GEE1006-001,GEE1006,1,동화의이해,전체,3.0,교양선택,셀7(웹강의),이문기,상대평가,※기말 : 6월 22일 17:00 ~ 17:55,4.66,기타-일반교양
1613,GEE1012-001,GEE1012,1,창작을 위한 글쓰기 실습,4,3.0,교양선택,"금7,8,9,10,11,12(5남401)",안보윤,절대평가,한국어문학,,기타-일반교양
1614,GEE1019-001,GEE1019,1,와인으로 보는 세계 문화,전체,3.0,교양선택,"화1,2,3(60주년-511) /목4,5,6(60주년-507)",이성근,상대평가,의예,,기타-일반교양
1615,GEE1019-002,GEE1019,2,와인으로 보는 세계 문화,전체,3.0,교양선택,"화10,11,12(60주년-610) /목10,11,12(60주년-609)",이성근,상대평가,의예,,기타-일반교양
1616,GEE1022-001,GEE1022,1,한중 서사콘텐츠의 이해,전체,3.0,교양선택,"월7,8,9,수7,8,9(60주년-509)",방건춘,절대평가,Chinese,,기타-원어강의
1617,GEE1023-001,GEE1023,1,인하특강 : 인하와 인천,전체,2.0,교양선택,"목13,14,15,16(본관대강당)",박현순,Pass/Fail,프런티어학부대학,,기타-일반교양
1618,GEE1024-001,GEE1024,1,클래식 음악 감상 실습,전체,3.0,교양선택,"월13,14,15,16,17,18(5남333)",반율리,Pass/Fail,예술체육학부,,기타-일반교양
1619,GEE2001-001,GEE2001,1,긍정심리학,전체,3.0,교양선택,"화13,14,15,16,17,18(9-317)",김진영,상대평가,행정학,,기타-일반교양
1620,GEE2003-001,GEE2003,1,Korean Society and Politics,2,3.0,교양선택,"월1,2,3,4,5,6(M-322)",김의곤,상대평가,"영어,English",,기타-일반교양
1621,GEE2005-002,GEE2005,2,경제학의 이해,1,3.0,교양선택,"월7,8,9,목7,8,9(M-322)",매츠,상대평가,English,,기타-원어강의
1622,GEE2006-001,GEE2006,1,지리와 여행,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-605)",손승호,절대평가,사회교육,,기타-일반교양
1623,GEE2007-002,GEE2007,2,생활 속의 경제 원리,전체,3.0,교양선택,"금1,2,3,4,5,6(서－２２８)",김종철,절대평가,"영어,English",,기타-일반교양
1624,GEE2008-001,GEE2008,1,영화 속의 법이야기,전체,3.0,교양선택,"화13,14,15,16,17,18(법전105)",이경규,상대평가,법학과목,,기타-일반교양
1625,GEE2015-001,GEE2015,1,기초수학,전체,3.0,교양선택,"화10,11,12,목19,20,21(5동106B)",김형돈,Pass/Fail,수학,,기타-일반교양
1626,GEE2015-002,GEE2015,2,기초수학,전체,3.0,교양선택,"화1,2,3,수16,17,18(5동105B)",김형돈,Pass/Fail,수학,,기타-일반교양
1627,GEE2015-003,GEE2015,3,기초수학,전체,3.0,교양선택,"화13,14,15,금13,14,15(5동202)",김경선,Pass/Fail,수학,,기타-일반교양
1628,GEE2015-004,GEE2015,4,기초수학,전체,3.0,교양선택,"월19,20,21,수13,14,15(5동107A)",김혁,Pass/Fail,수학,,기타-일반교양
1629,GEE2015-005,GEE2015,5,기초수학,전체,3.0,교양선택,"월16,17,18,수7,8,9(5동105B)",김혁,Pass/Fail,수학,,기타-일반교양
1630,GEE2015-006,GEE2015,6,기초수학,전체,3.0,교양선택,"월13,14,15,수16,17,18(5동115)",김혁,Pass/Fail,수학,,기타-일반교양
1631,GEE2015-007,GEE2015,7,기초수학,전체,3.0,교양선택,"월4,5,6,수1,2,3(5동107A)",장태수,Pass/Fail,수학,,기타-일반교양
1632,GEE2015-008,GEE2015,8,기초수학,전체,3.0,교양선택,"화10,11,12,금1,2,3(5동106A)",김지연,Pass/Fail,수학,,기타-일반교양
1633,GEE2015-009,GEE2015,9,기초수학,전체,3.0,교양선택,"화7,8,9,금4,5,6(5동102)",김지연,Pass/Fail,수학,,기타-일반교양
1634,GEE2015-010,GEE2015,10,기초수학,전체,3.0,교양선택,"월16,17,18,수16,17,18(5동107B)",연룡하,Pass/Fail,Chinese,,기타-일반교양
1635,GEE2016-001,GEE2016,1,기초물리학,1,3.0,교양선택,셀3(웹강의),윤진희,Pass/Fail,※기말 : 6월 22일 13:00 ~ 13:55,4.92,기타-일반교양
1636,GEE2016-002,GEE2016,2,기초물리학,1,3.0,교양선택,"월4,5,6,목7,8,9(5동408)",장우제,Pass/Fail,물리학,,기타-일반교양
1637,GEE2016-003,GEE2016,3,기초물리학,1,3.0,교양선택,"화4,5,6,금7,8,9(5동408)",유지현,Pass/Fail,물리학,,기타-일반교양
