,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department
1638,GEE2016-004,GEE2016,4,기초물리학,1,3.0,교양선택,"월7,8,9,수7,8,9(5동408)",김민수,Pass/Fail,물리학,,기타-일반교양
1639,GEE2016-005,GEE2016,5,기초물리학,1,3.0,교양선택,"화10,11,12,목10,11,12(5동408)",우정석,Pass/Fail,물리학,,기타-일반교양
1640,GEE2022-001,GEE2022,1,"인류의 그림자, 에너지 바로 알기",전체,3.0,교양선택,셀10(웹강의),신현돈,상대평가,※기말 : 6월 23일 13:00 ~ 13:55,3.5,기타-일반교양
1641,GEE2023-001,GEE2023,1,뉴스 속의 법이야기,전체,3.0,교양선택,"화7,8,9,수7,8,9(법전126)",심영주,상대평가,법학과목,,기타-법학과목
1642,GEE2024-001,GEE2024,1,미디어와 콘텐츠,전체,3.0,교양선택,셀4(웹강의),김만수,상대평가,※기말 : 6월 22일 14:00 ~ 14:55,4.64,기타-일반교양
1643,GEE2027-001,GEE2027,1,바다의 불편한 진실,전체,3.0,교양선택,셀1(웹강의),김태원,상대평가,※기말 : 6월 22일 10:00 ~ 10:55,2.92,기타-E-Learning
1644,GEE2028-001,GEE2028,1,브랜드 생성의 원리,전체,3.0,교양선택,셀6(웹강의),이재진,상대평가,※기말 : 6월 22일 16:00 ~ 16:55,4.82,기타-일반교양
1645,GEE2030-001,GEE2030,1,숲의 이해,전체,3.0,교양선택,"목13,14,15,16,17,18(2동252)",구윤모,Pass/Fail,생명공학,,기타-일반교양
1646,GEE3001-001,GEE3001,1,졸업인증실용영어,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-805)",전재영,Pass/Fail,프런티어학부대학,,기타-일반교양
1647,GEE3001-002,GEE3001,2,졸업인증실용영어,전체,3.0,교양선택,"월4,5,6,수1,2,3(60주년-805)",전재영,Pass/Fail,프런티어학부대학,,기타-일반교양
1648,GEE3002-001,GEE3002,1,자막없이 보는 미국드라마,전체,3.0,교양선택,셀0(웹강의),영남대,상대평가,※영남대학교 이러닝 학점교류교과목,3.23,기타-E-Learning
1649,GEE3003-001,GEE3003,1,외국인전용초급한국어,전체,3.0,교양선택,"월7,8,9,목10,11,12(60주년-610)",고자연,절대평가,"교환학생전용,English",,기타-일반교양
1650,GEE3003-002,GEE3003,2,외국인전용초급한국어,전체,3.0,교양선택,"월10,11,12,목7,8,9(60주년-610)",고자연,절대평가,"교환학생전용,English",,기타-일반교양
1651,GEE3003-003,GEE3003,3,외국인전용초급한국어,전체,3.0,교양선택,"목4,5,6,금1,2,3(60주년-612)",박은정,절대평가,"교환학생전용,English",,기타-일반교양
1652,GEE3003-004,GEE3003,4,외국인전용초급한국어,전체,3.0,교양선택,"수7,8,9,금7,8,9(60주년-607)",최주희,절대평가,"교환학생전용,English",,기타-일반교양
1653,GEE3003-005,GEE3003,5,외국인전용초급한국어,전체,3.0,교양선택,"수1,2,3,금4,5,6(60주년-610)",최주희,상대평가,"국제학부전용,English",,기타-일반교양
1654,GEE3003-006,GEE3003,6,외국인전용초급한국어,전체,3.0,교양선택,"화1,2,3,수10,11,12(60주년-610)",조남현,상대평가,"국제학부전용,English",,기타-일반교양
1655,GEE3003-007,GEE3003,7,외국인전용초급한국어,전체,3.0,교양선택,"화4,5,6,수7,8,9(60주년-610)",조남현,상대평가,"국제학부전용,English",,기타-일반교양
1656,GEE3004-001,GEE3004,1,외국인전용중급한국어,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-508)",이경복,절대평가,"교환학생전용,English",,기타-일반교양
1657,GEE3004-002,GEE3004,2,외국인전용중급한국어,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-511)",이경복,상대평가,"국제학부전용,English",,기타-일반교양
1658,GEE3004-003,GEE3004,3,외국인전용중급한국어,전체,3.0,교양선택,"수4,5,6,금1,2,3(60주년-610)",최주희,상대평가,"국제학부전용,English",,기타-일반교양
1659,GEE3012-001,GEE3012,1,스타트일본어,전체,3.0,교양선택,셀1(웹강의),모세종,상대평가,※기말 : 6월 22일 10:00 ~ 10:55,2.52,기타-E-Learning
1660,GEE3013-001,GEE3013,1,대학기초영어,1,3.0,교양선택,"화1,2,3,목10,11,12(60주년-805)",최재유,Pass/Fail,프런티어학부대학,,기타-일반교양
1661,GEE3013-002,GEE3013,2,대학기초영어,1,3.0,교양선택,"화4,5,6,목7,8,9(60주년-805)",최재유,Pass/Fail,프런티어학부대학,,기타-일반교양
1662,GEE3016-001,GEE3016,1,초급일본어,전체,3.0,교양선택,"화7,8,9,목7,8,9(5남518)",윤영민,상대평가,일본언어문화,,기타-일반교양
1663,GEE3016-002,GEE3016,2,초급일본어,전체,3.0,교양선택,"화10,11,12,목10,11,12(5남503)",윤영민,상대평가,일본언어문화,,기타-일반교양
1664,GEE3019-001,GEE3019,1,외국인전용 기초한국어,1,3.0,교양선택,"화4,5,6,수1,2,3(60주년-607)",정영진,상대평가,신입생전용,,기타-일반교양
1665,GEE3025-001,GEE3025,1,장애인과 함께 하는 삶,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-610)",황보익,Pass/Fail,프런티어학부대학,,기타-일반교양
1666,GEE3026-001,GEE3026,1,생활한문,전체,1.0,교양선택,"화5,6,7,8(60주년-511)",이승희,상대평가,프런티어학부대학,,기타-교양한국어
1667,GEE3026-002,GEE3026,2,생활한문,전체,1.0,교양선택,"화9,10,11,12(60주년-511)",이승희,상대평가,프런티어학부대학,,기타-교양한국어
1668,GEE3026-003,GEE3026,3,생활한문,전체,1.0,교양선택,"목5,6,7,8(60주년-511)",윤인현,상대평가,프런티어학부대학,,기타-교양한국어
1669,GEE3027-001,GEE3027,1,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학,,기타-일반교양
1670,GEE3027-002,GEE3027,2,실용영어 L/S,전체,3.0,교양선택,"월1,2,3,수4,5,6(60주년-506)",스티븐존스,상대평가,프런티어학부대학,,기타-일반교양
1671,GEE3027-003,GEE3027,3,실용영어 L/S,전체,3.0,교양선택,"월4,5,6,수1,2,3(60주년-702)",헴브리,상대평가,프런티어학부대학,,기타-일반교양
1672,GEE3027-004,GEE3027,4,실용영어 L/S,전체,3.0,교양선택,"월7,8,9,목1,2,3(60주년-506)",스티븐존스,상대평가,프런티어학부대학,,기타-일반교양
1673,GEE3027-005,GEE3027,5,실용영어 L/S,전체,3.0,교양선택,"월10,11,12,목4,5,6(60주년-501)",제이슨햄,상대평가,프런티어학부대학,,기타-교양영어
1674,GEE3027-006,GEE3027,6,실용영어 L/S,전체,3.0,교양선택,"월13,14,15,수13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학,,기타-일반교양
1675,GEE3027-007,GEE3027,7,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학,,기타-일반교양
1676,GEE3027-008,GEE3027,8,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-702)",헴브리,상대평가,프런티어학부대학,,기타-일반교양
1677,GEE3027-009,GEE3027,9,실용영어 L/S,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학,,기타-일반교양
1678,GEE3027-010,GEE3027,10,실용영어 L/S,전체,3.0,교양선택,"화7,8,9,금4,5,6(60주년-702)",헴브리,상대평가,프런티어학부대학,,기타-교양영어
1679,GEE3027-011,GEE3027,11,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-501)",제이슨햄,상대평가,프런티어학부대학,,기타-교양영어
1680,GEE3027-012,GEE3027,12,실용영어 L/S,전체,3.0,교양선택,"화10,11,12,금1,2,3(60주년-601)",스트롱,상대평가,프런티어학부대학,,기타-교양영어
1681,GEE3027-013,GEE3027,13,실용영어 L/S,전체,3.0,교양선택,"화13,14,15,목13,14,15(60주년-601)",스트롱,상대평가,프런티어학부대학,,기타-교양영어
1682,GEE3027-014,GEE3027,14,실용영어 L/S,전체,3.0,교양선택,"수7,8,9,금10,11,12(60주년-702)",헴브리,상대평가,프런티어학부대학,,기타-교양영어
1683,GEE3027-015,GEE3027,15,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-501)",제이슨햄,상대평가,프런티어학부대학,,기타-교양영어
1684,GEE3027-018,GEE3027,18,실용영어 L/S,전체,3.0,교양선택,"수10,11,12,금7,8,9(60주년-506)",스티븐존스,상대평가,프런티어학부대학,,기타-교양영어
1685,GEE3028-001,GEE3028,1,실용영어 R/W,전체,3.0,교양선택,"화1,2,3,목10,11,12(60주년-608)",이철희,상대평가,프런티어학부대학,,기타-교양영어
1686,GEE3028-002,GEE3028,2,실용영어 R/W,전체,3.0,교양선택,"화4,5,6,목7,8,9(60주년-608)",이철희,상대평가,프런티어학부대학,,기타-일반교양
1687,GEE3028-003,GEE3028,3,실용영어 R/W,전체,3.0,교양선택,"화10,11,12,목1,2,3(60주년-608)",이철희,상대평가,프런티어학부대학,,기타-교양영어
1688,GEE3028-004,GEE3028,4,실용영어 R/W,전체,3.0,교양선택,"화10,11,12,목13,14,15(60주년-609)",최재유,상대평가,프런티어학부대학,,기타-교양영어
1689,GEE3030-001,GEE3030,1,외국인전용 한국어 레포트쓰기,전체,3.0,교양선택,"금10,11,12,13,14,15(60주년-607)",박은정,상대평가,프런티어학부대학,,기타-일반교양
1690,GEE3031-001,GEE3031,1,외국인전용 한국어 프레젠테이션,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-608)",김철희,상대평가,프런티어학부대학,,기타-일반교양
1691,GEE3032-001,GEE3032,1,외국인전용 미디어 한국어,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-609)",윤진현,상대평가,프런티어학부대학,,기타-일반교양
1692,GEE3033-001,GEE3033,1,외국인전용 한국과 세계의 비교문화,전체,3.0,교양선택,"수1,2,3,4,5,6(60주년-508)",이영태,상대평가,프런티어학부대학,,기타-일반교양
1693,GEE4002-001,GEE4002,1,성공 중소기업·벤처기업 특강,전체,3.0,교양선택,"목13,14,15,16,17,18(5서360)",이경엽,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1694,GEE4003-001,GEE4003,1,기업 수요지향기술 종합설계,전체,3.0,교양선택,"월19,20,21,22,23,24(60주년-101)",최종식,Pass/Fail,프런티어학부대학,,기타-일반교양
1695,GEE4003-002,GEE4003,2,기업 수요지향기술 종합설계,전체,3.0,교양선택,"금16,17,18,19,20,21(60주년-101)",최종식,Pass/Fail,프런티어학부대학,,기타-일반교양
1696,GEE4004-001,GEE4004,1,효율적 기술개발과 기업가 정신,전체,3.0,교양선택,"월16,17,18,19,20,21(6-427)",김성기,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1697,GEE4005-001,GEE4005,1,경영전략과 스타트업,전체,3.0,교양선택,"목10,11,12,13,14,15(5서369)",박현준,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1698,GEE4006-001,GEE4006,1,기술경영 창업,전체,3.0,교양선택,"수13,14,15,16,17,18(6-427)",위강순,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1699,GEE4007-001,GEE4007,1,발명과 특허,전체,2.0,교양선택,셀14(웹강의),김성호,Pass/Fail,"E-learning, ※기말 : 6월 23일 17:00 ~ 17:55,창의영역",3.31,기타-E-Learning
1700,GEE4009-001,GEE4009,1,스타트업 이슈 리서치,전체,1.0,교양선택,"화7,8(본관중강당)",홍영성,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1701,GEE4010-001,GEE4010,1,인하특강 : 기업가 정신과 창업,전체,3.0,교양선택,"금1,2,3,4,5,6(하이테크센)",김대진,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1702,GEE4010-002,GEE4010,2,인하특강 : 기업가 정신과 창업,전체,3.0,교양선택,"목10,11,12,13,14,15(60주년-508)",신한용,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1703,GEE4013-001,GEE4013,1,인하특강 : CEO와 기업가 정신,전체,2.0,교양선택,"화13,14,15,16(본관대강당)",박대영,Pass/Fail,"교양선택,창의영역",,기타-일반교양
1704,GEE4014-001,GEE4014,1,취업 및 창업 특강,전체,2.0,교양선택,"수9,10,11,12(본관대강당)",박세영,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1705,GEE4014-002,GEE4014,2,취업 및 창업 특강,전체,2.0,교양선택,"수13,14,15,16(본관대강당)","박세영,김연준",Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1706,GEE4015-001,GEE4015,1,사내기업가정신의 이해,전체,3.0,교양선택,"화13,14,15,16,17,18(5동211)",윤용,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1707,GEE4017-001,GEE4017,1,사회혁신과 소셜벤처,전체,2.0,교양선택,"목13,14,15,16(60주년-712)",김영구,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1708,GEE4018-001,GEE4018,1,스타트업시작의 이해,전체,3.0,교양선택,"셀0(웹강의) /화13,14,15(60주년-206)",남기태,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1709,GEE4019-001,GEE4019,1,스타트업 아이디어 발상,전체,3.0,교양선택,"월13,14,15,16,17,18(60주년-612)",소국천,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1710,GEE4020-001,GEE4020,1,창업 시뮬레이션,전체,3.0,교양선택,"화13,14,15,16,17,18(5서460)",이정하,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1711,GEE4021-001,GEE4021,1,실전 스타트업,전체,3.0,교양선택,"월4,5,6,7,8,9(5서460)",이동건,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1712,GEE4022-002,GEE4022,2,취업을 위한 글쓰기 실습,4,3.0,교양선택,"수4,5,6,7,8,9(5남401)",박보연,절대평가,한국어문학,,기타-일반교양
1713,GEE4025-001,GEE4025,1,글로벌 스타트업의 이해,전체,2.0,교양선택,"금7,8,9,10(하이테크센)",김대진,Pass/Fail,"프런티어학부대학,창의영역",,기타-일반교양
1714,GEE4026-001,GEE4026,1,성공하는 비즈니스 모델 개발,전체,3.0,교양선택,셀5(웹강의),박승욱,Pass/Fail,"※기말 : 6월 22일 15:00 ~ 15:55,창의영역",4.99,기타-일반교양
1715,GEE5009-001,GEE5009,1,여대생 진로와 경력개발,전체,2.0,교양선택,"월9,10,11,12(본관중강당)",김연준,Pass/Fail,프런티어학부대학,,기타-일반교양
1716,GEE5014-001,GEE5014,1,인하 스콜라 특강,전체,1.0,교양선택,"수13,14(60주년-608)",원주연,Pass/Fail,교양선택,,기타-일반교양
1717,GEE5016-001,GEE5016,1,진로설계 이해와 전략,전체,3.0,교양선택,"화10,11,12,목10,11,12(60주년-712)",이유주,Pass/Fail,인하공학교육혁신센터,,기타-일반교양
1718,GEE5018-001,GEE5018,1,커리어 디자인,전체,1.0,교양선택,셀0(웹강의),김연준,Pass/Fail,※인재개발원 관리,4.67,기타-E-Learning
1719,GEE5019-001,GEE5019,1,자산관리와 인생재무제표,전체,3.0,교양선택,셀0(웹강의),영남대,상대평가,※영남대학교 이러닝 학점교류교과목,4.25,기타-E-Learning
1720,GEE6001-001,GEE6001,1,건강한 체중조절을 위한 맞춤영양,전체,3.0,교양선택,셀12(웹강의),장경자,상대평가,※기말 : 6월 23일 15:00 ~ 15:55,3.24,기타-E-Learning
1721,GEE6002-001,GEE6002,1,댄스스포츠,전체,1.0,교양선택,"수9,10,11,12(5동211)",양민아,절대평가,"영어,English",,기타-원어강의
1722,GEE6002-002,GEE6002,2,댄스스포츠,전체,1.0,교양선택,"수13,14,15,16(5동211)",양민아,절대평가,"영어,English",,기타-원어강의
1723,GEE6003-001,GEE6003,1,수영,전체,1.0,교양선택,"월17,18,19,20(에이스수영)",소병훈,절대평가,체육교육,,기타-일반교양
1724,GEE6004-001,GEE6004,1,테니스,전체,1.0,교양선택,"화5,6,7,8(테니스장)",유기성,절대평가,체육교육,,기타-일반교양
1725,GEE6004-002,GEE6004,2,테니스,전체,1.0,교양선택,"화9,10,11,12(테니스장)",유기성,절대평가,체육교육,,기타-일반교양
1726,GEE6004-003,GEE6004,3,테니스,전체,1.0,교양선택,"월1,2,3,4(60주년-611)",권영문,절대평가,체육교육,,기타-일반교양
1727,GEE6004-004,GEE6004,4,테니스,전체,1.0,교양선택,"월5,6,7,8(60주년-711)",권영문,절대평가,체육교육,,기타-일반교양
1728,GEE6004-005,GEE6004,5,테니스,전체,1.0,교양선택,"금9,10,11,12(60주년-712)",천성민,절대평가,체육교육,,기타-일반교양
1729,GEE6004-006,GEE6004,6,테니스,전체,1.0,교양선택,"목5,6,7,8(테니스장)",유기성,절대평가,체육교육,,기타-일반교양
1730,GEE6005-001,GEE6005,1,요가와 명상,전체,1.0,교양선택,"월4,5,6,7(5서369)",최지아,절대평가,체육교육,,기타-일반교양
1731,GEE6005-002,GEE6005,2,요가와 명상,전체,1.0,교양선택,"월9,10,11,12(5동211)",최지아,절대평가,체육교육,,기타-일반교양
1732,GEE6005-003,GEE6005,3,요가와 명상,전체,1.0,교양선택,"목5,6,7,8(5서156)",김송은,절대평가,체육교육,,기타-일반교양
1733,GEE6005-004,GEE6005,4,요가와 명상,전체,1.0,교양선택,"목9,10,11,12(60주년-612)",김송은,절대평가,체육교육,,기타-일반교양
1734,GEE6006-001,GEE6006,1,호신술,전체,1.0,교양선택,"목5,6,7,8(5서160)",박지훈,절대평가,체육교육,,기타-일반교양
1735,GEE6006-002,GEE6006,2,호신술,전체,1.0,교양선택,"목9,10,11,12(5서160)",박지훈,절대평가,체육교육,,기타-일반교양
1736,GEE6007-001,GEE6007,1,골프,전체,1.0,교양선택,"금5,6,7,8(대운동장)",박진한,절대평가,체육교육,,기타-일반교양
1737,GEE6007-002,GEE6007,2,골프,전체,1.0,교양선택,"목9,10,11,12(대운동장)",박진한,절대평가,체육교육,,기타-일반교양
1738,GEE6007-003,GEE6007,3,골프,전체,1.0,교양선택,"목13,14,15,16(대운동장)",박진한,절대평가,체육교육,,기타-일반교양
1739,GEE6007-004,GEE6007,4,골프,전체,1.0,교양선택,"수13,14,15,16(대운동장)",김학범,절대평가,체육교육,,기타-일반교양
1740,GEE6009-001,GEE6009,1,야구소프트볼,전체,1.0,교양선택,"화5,6,7,8(대운동장)",김영욱,절대평가,체육교육,,기타-일반교양
1741,GEE6009-002,GEE6009,2,야구소프트볼,전체,1.0,교양선택,"수5,6,7,8(대운동장)",김영욱,절대평가,체육교육,,기타-일반교양
1742,GEE6009-003,GEE6009,3,야구소프트볼,전체,1.0,교양선택,"목5,6,7,8(대운동장)",김영욱,절대평가,체육교육,,기타-일반교양
1743,GEE6009-004,GEE6009,4,야구소프트볼,전체,1.0,교양선택,"화9,10,11,12(대운동장)",김학범,절대평가,체육교육,,기타-일반교양
1744,GEE6014-001,GEE6014,1,미술치료로 알아가는 가족이야기,전체,3.0,교양선택,셀0(웹강의),영남대,상대평가,※영남대학교 이러닝 학점교류교과목,4.52,기타-E-Learning
1745,GEE6015-002,GEE6015,2,피트니스 트레이닝,전체,1.0,교양선택,"월13,14,15,16(대운동장)",이상우,절대평가,축구풋살,,기타-일반교양
1746,GEE6015-004,GEE6015,4,피트니스 트레이닝,전체,1.0,교양선택,"화13,14,15,16(5서160)",김학범,절대평가,스포츠퍼포먼스,,기타-일반교양
1747,GEE6015-006,GEE6015,6,피트니스 트레이닝,전체,1.0,교양선택,"월9,10,11,12(60주년-712)",권혁주,절대평가,농구,,기타-일반교양
1748,GEE6015-007,GEE6015,7,피트니스 트레이닝,전체,1.0,교양선택,"수1,2,3,4(5서360)",최지아,절대평가,매트필라테스,,기타-일반교양
1749,GEE6015-008,GEE6015,8,피트니스 트레이닝,전체,1.0,교양선택,"수5,6,7,8(5서360)",최지아,절대평가,매트필라테스,,기타-일반교양
1750,GEE6016-001,GEE6016,1,금연과 건강한 삶,전체,3.0,교양선택,셀2(웹강의),"이훈재,손민,서민희",상대평가,※기말 : 6월 22일 11:00 ~ 11:55,4.14,기타-E-Learning
1751,GEE6019-001,GEE6019,1,스포츠과학과 건강,전체,3.0,교양선택,셀14(웹강의),"박동호,곽효범",상대평가,※기말 : 6월 23일 17:00 ~ 17:55,5.0,기타-일반교양
1752,GEE6020-001,GEE6020,1,암세포 이야기,전체,3.0,교양선택,셀3(웹강의),소재원,상대평가,※기말 : 6월 22일 13:00 ~ 13:55,4.25,기타-E-Learning
1753,GEE6021-001,GEE6021,1,피아노 연주 실습,전체,3.0,교양선택,"화7,8,9,10,11,12(5남333)",한희철,Pass/Fail,예술체육학부,,기타-일반교양
1754,GEE6021-002,GEE6021,2,피아노 연주 실습,전체,3.0,교양선택,"수7,8,9,10,11,12(5남333)",한희철,Pass/Fail,예술체육학부,,기타-일반교양
1755,GEE7002-001,GEE7002,1,객체지향 기반 응용 프로그래밍,전체,3.0,교양선택,셀0(웹강의),이욱,상대평가,컴퓨터공학,,기타-E-Learning
1756,GEE7003-001,GEE7003,1,인공지능 개론 및 프로그래밍 기초,전체,3.0,교양선택,셀0(웹강의),"김도국,김영성",Pass/Fail,인공지능공학,5.0,기타-일반교양
1757,GEE7004-001,GEE7004,1,객체지향언어와 SW활용,전체,3.0,교양선택,셀0(웹강의),이욱,Pass/Fail,컴퓨터공학,5.0,기타-일반교양
1758,GEE7005-001,GEE7005,1,이차전지와 인공지능,전체,3.0,교양선택,셀0(웹강의),이용진,상대평가,이차전지공학,,기타-일반교양
1759,GEE7014-001,GEE7014,1,컴퓨터비전 중심 인공지능 입문,1,3.0,교양선택,"수20,21,22,금20,21,22(하-010)",송병철,상대평가,전자공학,,기타-일반교양
